L,H,E,nu,F,u_max,sigma_vm_max
1.666014691293767891e+00,1.234549612725358986e-01,2.079756237292896729e+11,2.964973456193653045e-01,4.900626405832281307e+03,1.842172343329126678e-04,3.225561624018419068e+06
1.117364003291089869e+00,1.690523225839959121e-01,8.187469812365649414e+10,3.055461710137764020e-01,4.109269041435758481e+03,5.062769336721862934e-05,1.107370568546462106e+06
1.887052500829832891e+00,1.733874635926147545e-01,7.517590180816439819e+10,2.872702341306734297e-01,7.191431254123307326e+02,4.108786897257160132e-05,2.797866552694137208e+05
6.639234366718369529e-01,1.512958443001226339e-01,1.698561474836377563e+11,3.273720682751626310e-01,4.394554466250483529e+03,7.845219969963041509e-06,9.756998939610086381e+05
1.609147202714764857e+00,1.701307388159948308e-01,7.685491937525909424e+10,2.734535150441298468e-01,3.298539980188606023e+03,1.245909449694627307e-04,1.146025985237670131e+06
1.787187956937234645e+00,5.067501874094887393e-02,1.420481078962889709e+11,3.177287399364396858e-01,6.332328010787593939e+02,3.840332498818574891e-04,1.869898061926733702e+06
1.102033336330081825e+00,1.843452322075545546e-01,1.640257932398202209e+11,2.737658363360597202e-01,4.337515083343607330e+03,2.039772658644308553e-05,9.472236818823466310e+05
1.022047135114271477e+00,1.780017006716089201e-01,1.118521111566467743e+11,3.090320250883148989e-01,2.286230304865253402e+03,1.367355284549708953e-05,5.228065060366089456e+05
9.122375761326004806e-01,1.829836343257804088e-01,9.626311547152877808e+10,2.584811591235763317e-01,2.038671223455471591e+03,9.753913891996883665e-06,3.800475195723939105e+05
1.576458721462351331e+00,1.711147408964422967e-01,2.098240718093470764e+11,2.796362057011164692e-01,2.335738780090769978e+03,2.985165093522388054e-05,7.946600294757703086e+05
7.052319170444394381e-01,1.362307894434550692e-01,2.096612052168084106e+11,3.200881010120658621e-01,3.178457781860172872e+03,7.446593605170035491e-06,8.867742500930016395e+05
1.088553639382690896e+00,1.872948140428332686e-01,1.395683234582489014e+11,2.634366913313061498e-01,2.144203084396100621e+03,1.099375971741704935e-05,4.456065463781203725e+05
6.007500032716504013e-01,8.029685565331723396e-02,7.247362933998770142e+10,2.953279916500163305e-01,3.355431192283087057e+03,6.739056836847129620e-05,2.082624421942747198e+06
1.014938693568361749e+00,1.130572657257915836e-01,2.042892981982406311e+11,3.251963121574915627e-01,2.933854866252280317e+03,3.456547379093232120e-05,1.582197602539807325e+06
9.268113126677378633e-01,1.845495198159493033e-01,1.029135963632923279e+11,2.825342730516676726e-01,4.590791664903268611e+03,2.065978701202407253e-05,8.749559226745587075e+05
1.294313082927608605e+00,1.613476924126965306e-01,1.527042711829272461e+11,3.153439209009494815e-01,1.847224811816715146e+03,2.121434025917258036e-05,6.235891449210194405e+05
8.620580924399943168e-01,9.837385207529980580e-02,9.176181897167913818e+10,3.374314365290806972e-01,1.774611199625513336e+03,4.295627009070352565e-05,1.104799788811940001e+06
1.342234091621576919e+00,1.687961637712061258e-01,1.797353753125999146e+11,2.938386258584193000e-01,2.643157888640265355e+03,2.555837497987370848e-05,8.198405064591633854e+05
1.992052623402537304e+00,1.511896215468536142e-01,1.840493820365035706e+11,3.402553969219231922e-01,4.044154263032026392e+03,1.556255384158037236e-04,2.318703110992507543e+06
7.777690174303513171e-01,1.343256100606358416e-01,8.426518202403628540e+10,3.152922126563998395e-01,4.799072426845149494e+03,3.883892964674156916e-05,1.478862745626796503e+06
1.269098096450167024e+00,1.149458739301650878e-01,7.501798519854284668e+10,3.459774522329219781e-01,9.635120785857145620e+02,5.491747492910882658e-05,6.368615216958575184e+05
5.616186399572704602e-01,8.690999172574077891e-02,7.917426074857354736e+10,2.955117842411762452e-01,2.822395105657005843e+03,3.393845542941319578e-05,1.431460013597778743e+06
9.688549235428758344e-01,5.764407238623291130e-02,8.562405155489173889e+10,2.884504377989928203e-01,7.723780287194125549e+02,1.291490254550133206e-04,1.271510246570948279e+06
1.547284588414870043e+00,8.105308122872180443e-02,1.122900196297093811e+11,2.894125777178097603e-01,2.374743348811165561e+03,4.240755069578758469e-04,3.043676662403965835e+06
5.024910615122007984e-01,6.681055564980463435e-02,1.907870389237229309e+11,2.501233062511908356e-01,2.786753101157938090e+03,2.222215085208784202e-05,1.992624447290490381e+06
1.234253009760812203e+00,9.996412415159568188e-02,1.303857828205029602e+11,3.280581137526584201e-01,4.285416677967304167e+03,1.958989366741808861e-04,3.429218811262605246e+06
8.905228151228750111e-01,9.837356614515949116e-02,1.039475994239665833e+11,2.979863400551064911e-01,3.574662609464658090e+03,8.659402577966792878e-05,2.133407392677216325e+06
8.423793131951308188e-01,9.961036130823000545e-02,2.002538464624810791e+11,2.548569289846958075e-01,2.573463223578048201e+03,2.734720548604003954e-05,1.367003917149072513e+06
1.567337062395166791e+00,7.256810173362111815e-02,7.663236280076745605e+10,2.638205371638530639e-01,4.634704370888072845e+03,1.682140114955186800e-03,6.959818615722280927e+06
5.138896727316850654e-01,7.824829622170277610e-02,7.437969180623023987e+10,2.610629467562203265e-01,3.290671789827333214e+03,4.517188654351202831e-05,1.809141906600548187e+06
8.624583631086286672e-01,1.353818075646015529e-01,1.526273535872576599e+11,3.349435333089778588e-01,5.213362681034326442e+02,3.020453001048993449e-06,1.789118980843067984e+05
1.780054189013550170e+00,1.428678629640461328e-01,9.278408805469406128e+10,3.272937388135284120e-01,4.349711938057635962e+03,2.868192219389585369e-04,2.449568053941974416e+06
8.813952256312359568e-01,1.878190521354021758e-01,1.336240402418121033e+11,3.103424454333321147e-01,4.930922901279396683e+03,1.376636731725029056e-05,9.061624711972372606e+05
1.042304117958799070e+00,1.719739018730169489e-01,1.145758764959843445e+11,3.299213522241490892e-01,3.203302634881891208e+03,2.149318991445285255e-05,8.217622555879515130e+05
8.245335428381022069e-01,1.121039140683854629e-01,1.144689888108986359e+11,2.578108393080363880e-01,6.342564654486386644e+02,7.867959330840904191e-06,2.669157710364664672e+05
1.019717983110771442e+00,5.285512217262298973e-02,9.316828606144850159e+10,3.225183320850868451e-01,3.686410560576145599e+03,8.013036048008471621e-04,7.736905760400793515e+06
1.607870579686073942e+00,9.757297566949682532e-02,1.946027239964773560e+11,3.093830548028447258e-01,1.067118537859819298e+03,7.355686381531109500e-05,1.057102690894136904e+06
7.155779921833012036e-01,1.539643140394552634e-01,9.421215110189093018e+10,3.007292701582043315e-01,4.962985141679198023e+03,1.925779369785273346e-05,1.088629659709404688e+06
5.060114071000092473e-01,5.248697028463353981e-02,2.090318414702709045e+11,3.084638834134165175e-01,1.071094889833309026e+03,1.534098239307507352e-05,1.282992006634930614e+06
1.845953299631140521e+00,1.820570450191538736e-01,1.450680578355925293e+11,3.121792029860756545e-01,1.729342361753943578e+03,4.111941113854196395e-05,6.267248594294029754e+05
5.757795445580077276e-01,1.391851413336296639e-01,1.112657270483868103e+11,3.163621046660352043e-01,4.263103295791705023e+03,9.903743669128898565e-06,9.628374505747753428e+05
5.272408158715460313e-01,1.393570662028591201e-01,1.023792755561593170e+11,3.373888497903801409e-01,1.641490279528228257e+03,3.154454290134761702e-06,3.572939862491116510e+05
1.416155199853127433e+00,1.330311260134417473e-01,1.254633100082948456e+11,3.177620763599793841e-01,3.765963356219452635e+03,1.184672430250591723e-04,1.964138706309037050e+06
1.350406692979080336e+00,1.637633355777131372e-01,2.076783906390112610e+11,2.919272387900804788e-01,2.815623733484888817e+03,2.620531522759696587e-05,9.257844958776753629e+05
5.187048169118197993e-01,1.694042834465567804e-01,1.428322093864391479e+11,2.907961430360564981e-01,9.233238339022811942e+02,7.281325995010226887e-07,1.299939031997179409e+05
1.834484632513095903e+00,1.092510860060834782e-01,1.655614237492908325e+11,2.649374156368150546e-01,4.826973332934646351e+03,4.211006975520492613e-04,4.074709918247022200e+06
7.676626427327464253e-01,7.993129893492356697e-02,1.902576004780799255e+11,3.412582744141930968e-01,1.454663333854856319e+03,2.203259955513251910e-05,1.215223006488324376e+06
1.204701332262241742e+00,1.600242356844244762e-01,1.929712027335122070e+11,2.879052695037305210e-01,2.826587690822431341e+03,2.182234281945776355e-05,8.765528111905162223e+05
1.612574615779602372e+00,1.596703964979193091e-01,1.796144182036518860e+11,3.069933818641526480e-01,9.707679356214885047e+02,1.850503991862825453e-05,3.964470834792944370e+05
1.855959936317060022e+00,1.798358808981542212e-01,1.817336410145666199e+11,2.599862477160729268e-01,1.419788151866431235e+03,2.932622307514967121e-05,4.952301384807963041e+05
1.615400547661477892e+00,5.347101418729197086e-02,2.070914487190191650e+11,2.877144680355680495e-01,3.736906401608706346e+03,1.113295369976053523e-03,9.342254445396674797e+06
1.831356632732064948e+00,1.091944832225123507e-01,1.146785484039532471e+11,3.108741128898246386e-01,3.114452181866228329e+03,3.816805618077100180e-04,2.800254034802727867e+06
1.113709966437195664e+00,1.402662133801562683e-01,2.009533917393092651e+11,2.967640256626596362e-01,1.385339813377840983e+03,1.190474386236960261e-05,5.184813035526175518e+05
1.065808974324505831e+00,1.091160473889677962e-01,8.835521702367077637e+10,2.662871500554555015e-01,3.580529330271547678e+03,1.295477345606585950e-04,1.978038663348782808e+06
1.009216631313353929e+00,1.932347587783711518e-01,1.041035443502050476e+11,2.598924505104822091e-01,3.890770533501160571e+03,1.967206552535765571e-05,7.147193788196070818e+05
1.821554077876805122e+00,9.171700353072317902e-02,9.829233423036691284e+10,2.685766134871087063e-01,2.849055356149305680e+03,6.498973171583946823e-04,3.227112024697720539e+06
1.202624961870156550e+00,8.891597597818014231e-02,7.632423637851969910e+10,2.981491340326280493e-01,4.816995564360237950e+03,4.959924714165455609e-04,4.420698694648571312e+06
1.478778801128994846e+00,1.243259834942927744e-01,8.549689036414625549e+10,2.752436290549586939e-01,1.826482773085442204e+03,1.188311976528336357e-04,1.050506636727524456e+06
1.647205328910851474e+00,1.815066195896929413e-01,1.962298594993013916e+11,3.484568608250753763e-01,4.920650073970396079e+03,6.097825650802049698e-05,1.754836235206077574e+06
1.929498699151972030e+00,6.077332107543266526e-02,8.929109502989273071e+10,2.804466526476032673e-01,2.988042143290076638e+03,2.309073984662734190e-03,6.633568647210811265e+06
6.454668330582189473e-01,1.768695436703213719e-01,1.563458650708232727e+11,3.042364402302205062e-01,1.243900955152810184e+03,1.453140940438865739e-06,1.962743594000751618e+05
8.798832116002960335e-01,7.404680374733871306e-02,1.892706420912717896e+11,3.084227860061218296e-01,3.808082423838350223e+03,1.092440474343298333e-04,3.843959921965049114e+06
9.440492943650385937e-01,1.056878955632415823e-01,1.266796950197147217e+11,3.260014971744034651e-01,3.975588444535556391e+03,7.440341443990399785e-05,2.287338012504326645e+06
8.102202912710475546e-01,1.912308285107148786e-01,8.689174724211608887e+10,3.396122082423630451e-01,9.517804054241418044e+02,2.970144090339471965e-06,1.661818034300683939e+05
8.968097167269666325e-01,1.769717804101935688e-01,9.512889012845223999e+10,2.913567931309969938e-01,2.524366849748567802e+03,1.253573828067919681e-05,5.108719486774211400e+05
8.678884595348144160e-01,1.565367802003980180e-01,1.891868509163085327e+11,3.374575139855571781e-01,2.026949655814524249e+03,6.319158265540895871e-06,5.378780053151176544e+05
1.296275591431721663e+00,8.726096057984772392e-02,1.042715102170203552e+11,2.661254062851924340e-01,4.730085548633815961e+03,4.700876091661261255e-04,4.571702116656466387e+06
1.831983242908370002e+00,1.666038069991538362e-01,1.424726129802820435e+11,2.990607915511871995e-01,2.883855497821240988e+03,8.881744309197578955e-05,1.196606739432960283e+06
1.304852020365633969e+00,1.151844627046535591e-01,8.844567660488945007e+10,2.625663852868536097e-01,4.785123721305574691e+03,2.641642041103475476e-04,2.819346194580184761e+06
1.223046139379525776e+00,1.929808287357783758e-01,9.290076287941540527e+10,3.054416552039933563e-01,1.434727640081926438e+03,1.379322869017864266e-05,3.269115768304452067e+05
8.797769091899023675e-01,5.450818681417682332e-02,8.665346350362957764e+10,3.416848407629195505e-01,1.946898461670492679e+03,2.785421994742282633e-04,3.644377524778932333e+06
1.412193817871887358e+00,1.197521197983909685e-01,1.260631743343389587e+11,3.031886091346068235e-01,1.342575250769036757e+03,5.680485533921946243e-05,8.258456572168654529e+05
1.982905847779364850e+00,1.727461803055794776e-01,1.738260485824121399e+11,2.968759297013952581e-01,1.187947049568511829e+03,3.392117479147759983e-05,4.908912339023200911e+05
1.880998787410351758e+00,1.012080601072591624e-01,7.701493655757072449e+10,2.842403676810628665e-01,4.075056637231479726e+03,9.915527213571325924e-04,4.078215154936332256e+06
1.434063117482312188e+00,1.626257877117289752e-01,1.811089537407328491e+11,2.711954611080542588e-01,4.657024922419311224e+03,6.112844231537086848e-05,1.592767988353921566e+06
1.156984404380558829e+00,1.458520473896247061e-01,7.032322816214387512e+10,3.493368498411177914e-01,1.764033736838698132e+03,4.131634902860562757e-05,6.991207658700407483e+05
5.930946598102329048e-01,1.187393062304771124e-01,8.806420800548583984e+10,2.652326710157575929e-01,3.345272658635945845e+03,1.751944780255458201e-05,9.686413283982555149e+05
1.089391087355349841e+00,1.882778675232492649e-01,1.146819092451298065e+11,3.226180128383900891e-01,2.574947435697084074e+03,1.518656056180621017e-05,5.727406078707557172e+05
1.489926951693918200e+00,1.399543035073985697e-01,1.361897561862597504e+11,3.450061094624436997e-01,2.042211392397301324e+03,5.784063994108303692e-05,1.072607327163246227e+06
7.658532518739088468e-01,1.517141091319742507e-01,1.884410585831072388e+11,2.540253739939923872e-01,2.523347097902062615e+03,6.410784654719912060e-06,5.710114480091900332e+05
1.838731534530989364e+00,1.624427928384301612e-01,2.088530803096679382e+11,3.031413811597243879e-01,3.469980734605180714e+03,7.892281581258071257e-05,1.521552999061511131e+06
9.537204217068921963e-01,1.921303399498988651e-01,1.212869683979150848e+11,3.238510712686628601e-01,2.314130918535868659e+03,8.275144113828621006e-06,4.449919363510994008e+05
1.342728395094499039e+00,1.579673802532319538e-01,1.412507812451895752e+11,3.407086326909508633e-01,2.386854445675146053e+03,3.426953970413715528e-05,9.081927149802236818e+05
1.470607697214987741e+00,1.013543649950081338e-01,1.271419335523418274e+11,2.940050108233552284e-01,1.066131582405283552e+03,8.023858925032625346e-05,9.011846641482368577e+05
6.375855185885099807e-01,1.501234884720137053e-01,1.617724833680273132e+11,3.162909714210094814e-01,5.889490040421125059e+02,1.014704734506362669e-06,1.259707263019982493e+05
9.898202640076698700e-01,7.967147708887954705e-02,1.789411991561617432e+11,3.360630401396129674e-01,1.610061697517662878e+03,5.421889629875919239e-05,1.653497646192847285e+06
1.501773738271979575e+00,6.940442051874116947e-02,1.085213535842398682e+11,2.638654496233419633e-01,1.775843449696531479e+03,4.572483247165934003e-04,2.791563208949560300e+06
1.512104821023916745e+00,1.865490365277878704e-01,9.835313710938603210e+10,3.042079034950719296e-01,3.656259955595445263e+03,6.776836839333212148e-05,1.058117128770441283e+06
1.929383702728348471e+00,1.415090724330760885e-01,1.057149703438332977e+11,3.125478156913936156e-01,1.942210227551072649e+03,1.462325803455190017e-04,1.153882717911768705e+06
1.964192586037561750e+00,1.099514202745455471e-01,1.659598809065419922e+11,2.523227582346758702e-01,2.300276507606398809e+03,2.372018058207517137e-04,1.992168477429497521e+06
1.812661419983767397e+00,1.415341166649868865e-01,1.321520040954366913e+11,3.435937499435725573e-01,4.342929692662531124e+03,2.143292753891036116e-04,2.620766193633034825e+06
9.833235107344073800e-01,1.316822603062009489e-01,1.385753958529447632e+11,3.132202500114862342e-01,2.003500701314400203e+03,2.064452342047346528e-05,7.773309366062382469e+05
8.663075011488323707e-01,1.869007752883304341e-01,1.993424299297908936e+11,3.343322885761979002e-01,4.901919938440525584e+03,8.672097053558141933e-06,9.331615784029392526e+05
1.617487288669532841e+00,1.647000842842999691e-01,1.767626128747697144e+11,2.980607630942306296e-01,2.554034875314222518e+03,4.596198781901001670e-05,9.747240010907683754e+05
8.603394142235047948e-01,1.467228791538935928e-01,1.105048190543268433e+11,2.757808409702354191e-01,3.136826183432246580e+03,2.067651272833284727e-05,8.487128096099022077e+05
1.114973582337564828e+00,8.282849131919484131e-02,1.842478423453963623e+11,3.360569919294376096e-01,1.254647838550014285e+03,5.138589290396751723e-05,1.322636719483587425e+06
5.112605491999997476e-01,1.004194952794060652e-01,1.816515169953053589e+11,3.339173866234323995e-01,1.122480815522221519e+03,2.857571195520744611e-06,4.294709222095277510e+05
1.661503851774576823e+00,6.735562509641442042e-02,1.246087626219140930e+11,3.498609515011915638e-01,1.366658704539094288e+03,4.089156796042237919e-04,2.819629314652498346e+06
7.309453738664396516e-01,1.134200498820190361e-01,1.567535936357805786e+11,3.432900782413252916e-01,4.913695154898654437e+03,2.843894571303181611e-05,2.068165028117374750e+06
6.044609548870919502e-01,7.069962760218580222e-02,1.807033163454391479e+11,2.770632152270860460e-01,4.481820767778623122e+03,5.374181409944672240e-05,3.456969829300374258e+06
1.495179885843630263e+00,6.677672035710158216e-02,1.865540998893609924e+11,2.676356380008075853e-01,2.405729276058442338e+03,3.921065290134117740e-04,4.028477481123951264e+06
1.328277392838995041e+00,1.251149223620417472e-01,1.660628081861210632e+11,3.152686734869254992e-01,4.964189024876246549e+03,1.172988900436979100e-04,2.734505024007943925e+06
1.999132863836281748e+00,1.274689103953461355e-01,8.332787217452096558e+10,3.227843298968718355e-01,4.894988351974650868e+03,6.828845155563155510e-04,3.669963769520466682e+06
9.774895814435304864e-01,1.191813328756360785e-01,1.294687694741638184e+11,2.551419154556929247e-01,3.525189940505501454e+03,5.304079968990403198e-05,1.525731158813798102e+06
1.030006542602701636e+00,1.681195811947253649e-01,1.864968105394780273e+11,3.321230786597845208e-01,2.374996991179460565e+03,1.008146915568872501e-05,6.315669065673882142e+05
9.823185233613492828e-01,1.623231169500582438e-01,1.821945207379812012e+11,2.991257446391366037e-01,4.518639587913363357e+03,1.946942151314836957e-05,1.167148957926630974e+06
7.158630441178374104e-01,1.818603169488440252e-01,8.345333261606338501e+10,2.653525522054613894e-01,2.902280059732821428e+03,8.092450763206710166e-06,4.516060975139325019e+05
6.012777202811225852e-01,5.792106521001655350e-02,7.007262418319877625e+10,2.936316659694263032e-01,3.985807465815033993e+03,2.126654728617875518e-04,4.501749514937336557e+06
5.522575254198734962e-01,1.478386409698783099e-01,1.852378244382661133e+11,2.668000848577871120e-01,1.160886806696319127e+03,1.255180967646356185e-06,2.133242547464411473e+05
1.791201460430804193e+00,1.734686914925142320e-01,1.454518472769861450e+11,3.319199879293980304e-01,9.174023484102265229e+02,2.255695019344932921e-05,3.677593050768196699e+05
1.091722276908131617e+00,1.606696334159559703e-01,1.060432743053548737e+11,3.252328914433552653e-01,2.768803719758662282e+03,2.807812349162326328e-05,8.299883711658888496e+05
1.625398981922349551e+00,1.197019456785994446e-01,1.215066076310544739e+11,2.719189216478632432e-01,1.437707036457567483e+03,9.546444046232262714e-05,9.508974008716357639e+05
1.627236215857093882e+00,6.783655220509407502e-02,8.203752901553231812e+10,2.676291365022129831e-01,1.289059301542648427e+03,5.663452565878064485e-04,2.210430971792596392e+06
1.734661434210349684e+00,1.097759935211318760e-01,2.086543840304675293e+11,2.637211257790612606e-01,3.440929215621395088e+03,2.023879111370986564e-04,2.762198412440820131e+06
1.173094260801875954e+00,1.089377265045610998e-01,1.925117878675715332e+11,3.475595645828399305e-01,4.427865314483804468e+03,9.145148027946549234e-05,3.035995254627129994e+06
7.884510185526996118e-01,8.311968818134010673e-02,1.618503430733088684e+11,2.789083581638191478e-01,3.806263088512609556e+03,6.860283307221317402e-05,2.729355871770123020e+06
1.349630976214466926e+00,1.326363152735604567e-01,1.859965694774299927e+11,3.210532771742677927e-01,6.195999424878126547e+02,1.152747400990540137e-05,3.140267740718207788e+05
5.741887057190235844e-01,1.402337678684023592e-01,1.380668905871185608e+11,2.760184655342991511e-01,2.383952392916607096e+03,4.465662428768818718e-06,5.022730003606287064e+05
1.636865478099290838e+00,1.739917226986895105e-01,1.485712295046062012e+11,2.885369480857102875e-01,1.718135426727981667e+03,3.273844408132031816e-05,5.912510933211735683e+05
1.282877706153880304e+00,9.721244278465715483e-02,1.489733191866112061e+11,3.176652382509637662e-01,7.973564491372767407e+02,3.875634077201734081e-05,6.782234781543533318e+05
5.016011975341208018e-01,8.184157082611145939e-02,1.952316096806293335e+11,3.146290763228559162e-01,1.273821583716602845e+03,5.249507407483585263e-06,6.749335781140828039e+05
1.835395942735428054e+00,1.204933910431010141e-01,1.366528459350124817e+11,3.435541943842654877e-01,7.676901148250301503e+02,5.935110560328313864e-05,6.248430857220022008e+05
8.227674119430777866e-01,1.378656987732083672e-01,9.736811134148057556e+10,3.179527009208957811e-01,1.463415302015240741e+03,1.116333537310274235e-05,4.525955017720271135e+05
6.487354558982214581e-01,8.104777394612597274e-02,1.291827647980887146e+11,2.676138299173079771e-01,1.106114112155062912e+03,1.543357393976822875e-05,6.974380312145776115e+05
1.790422829328411236e+00,9.805958053959618059e-02,1.205062161125555115e+11,2.555270409501227413e-01,2.108163305759243485e+03,3.167064693240333444e-04,2.084077223866663175e+06
8.972107659823694847e-01,1.415727601012682912e-01,9.875464167413693237e+10,3.388365453062840427e-01,4.683499794137997924e+03,4.115877615578930566e-05,1.542365317248344189e+06
